Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
ııııııııı ııııııııı ıııııııııııııııııııııııı ııııııııııııııı ıııııııııııı ıııııııııııııııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııııııııı.,Brinjal,Market,Telugu,Uttarakhand,Zaid,Low,Worried,Human,Fungicide,4245,No,19,ask_advice,15/10/2024 23:43
ııııııııı ıııııııııııı ııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııı,ııııııııı ıııııııııııııııııı ıııııııııııı,Apple,Market,Assamese,Karnataka,Kharif,High,Frustrated,AI,Fertilizer,3649,No,7,ask_advice,10/05/2024 06:44
ıııııııııııı ıııııııııııı ııı ııııııııııııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ııııııııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııı ıııııııııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııı,Cotton,Nutrient,Bengali,Odisha,Winter,Medium,Hopeful,AI,Fungicide,2482,No,8,ask_advice,25/01/2024 07:22
ııııııııııııııııııııı ııııııııııııııı ııııııııı ıııııııııııı ıııııııııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı,ıııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııı,Potato,Nutrient,Konkani,Chhattisgarh,Zaid,Low,Angry,Govt_Expert,Pesticide,3294,Yes,7,ask_advice,06/01/2024 21:03
ııııııııııııııı ııııııııııııııııııııııııııııııııııııııııııııııııııı ıııııı ııııııııııııııııııııııııııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ıııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııııııııııııııııııııı.,Spices,Water,Malayalam,Himachal Pradesh,Zaid,Low,Neutral,NGO,Drip Kit,3186,No,30,ask_advice,08/07/2024 22:12
ııııııııııııııııııııı ııııııııı ııııııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııııııııııııııı ııııııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,Sugarcane,Weather,Malayalam,Andhra Pradesh,Summer,Medium,Angry,NGO,Pesticide,463,No,23,ask_advice,12/03/2024 13:27
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııı ııııııııı,ıııııııııııı ıııııı ıııııııııııı ıııııııııııı ııı ııııııııı ıııııııııııııııııı,Spices,Weather,Bhojpuri,Tamil Nadu,Zaid,Medium,Neutral,Private,Fertilizer,3870,No,10,ask_advice,28/11/2024 19:59
ıııııııııııııııııı ıııııı ııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ııııııııı.,ıııııııııııııııııı ıııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ııııııııııııııı ııııııııı ıııııııııııı.,Tomato,Weather,Marathi,Kerala,Monsoon,Medium,Neutral,NGO,Drip Kit,2573,No,9,ask_advice,22/06/2024 09:14
ııııııııı ııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ııı ııııııııı ıııııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııı ıııııııııııı,Potato,Nutrient,Maithili,Mizoram,Zaid,High,Worried,NGO,Fungicide,652,No,12,ask_advice,03/01/2024 20:29
ıııııııııııı ıııııııııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııııııııııııııı,Banana,Market,Punjabi,Manipur,Kharif,Low,Neutral,NGO,Irrigation Pump,2717,No,10,ask_advice,20/04/2025 13:42
ııııııııı ııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ııı ııııııııı ıııııııııııı,ıııııııııııı ıııııı ıııııııııııı ııııııııı ııı ıııııııııııı ııııııııı ııııııııııııııı,Apple,Equipment,Maithili,Telangana,Winter,High,Angry,AI,None,0,No,9,ask_advice,13/12/2024 20:11
ııııııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ıııııııııııı,ıııııııııııı ıııııı ıııııııııııı ııııııııı ııı ıııııııııııı ııııııııı ııııııııııııııı,Tomato,Equipment,Maithili,Mizoram,Kharif,Low,Frustrated,Govt_Expert,None,0,Yes,12,ask_advice,25/04/2024 04:00
ııııııııııııııı ııııııııııııııııııııı ııııııııı ıııııııııııı ıııııııııııııııııı ııııııııı ıııııı.,ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı.,Tomato,Market,Gujarati,Uttar Pradesh,Kharif,High,Frustrated,Human,Irrigation Pump,481,Yes,7,ask_advice,14/04/2024 07:38
ıııııııııııı ııııııııı ııı ııııııııı ııııııııııııııııııııı,ııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııııııııııııııı ııııııııııııııı,Banana,Disease,Bengali,Chhattisgarh,Monsoon,Medium,Frustrated,Private,Drip Kit,4501,Yes,5,ask_advice,01/02/2024 01:07
ııııııııııııııı ııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııııııııııııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı.,Pulses,Water,Telugu,Bihar,Kharif,High,Hopeful,Human,Drip Kit,4041,No,18,ask_advice,17/10/2024 10:28
ıııııııııııııııııııııııı ııııııııı ııııııııııııııııııııııııııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııııııııııııııııııııı.,ıııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııııııııııııııııııııı.,Banana,Water,Malayalam,Goa,Monsoon,Low,Frustrated,Govt_Expert,Drip Kit,2332,No,25,ask_advice,22/03/2024 18:46
ıııııııııııııııııı ııııııııııııııı ııııııııı ııııııııı ıııııı ııııııııı ııııııııı,ııııııııı ıııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Millets,Disease,Rajasthani,Assam,Kharif,High,Frustrated,Human,Neem Oil,3629,No,7,ask_advice,13/06/2024 04:04
ıııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı ıııııııııııııııııı,ııııııııı ıııııııııııııııııı ııııııııııııııııııııı,Wheat,Water,Odia,Gujarat,Rabi,Low,Hopeful,Govt_Expert,Fertilizer,1804,Yes,6,ask_advice,12/01/2024 04:10
ıııııııııııııııııııııııı ıııııııııııı ııııııııı ııı ııııııııııııııııııııııııııı ııııııııııııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı ıııııııııııııııııı ııııııııııııııııııııı,Onion,Disease,Tulu,Punjab,Summer,Medium,Frustrated,NGO,Fertilizer,2478,No,6,ask_advice,25/04/2024 23:51
ııııııııııııııı ııııııııııııııı ııııııııı ıııııııııııııııııı ıııııııııııııııııı ııııııııı ıııııı.,ııııııııııııııı ııııııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı.,Banana,Weather,Gujarati,West Bengal,Summer,High,Neutral,Govt_Expert,Drip Kit,3814,No,7,ask_advice,15/02/2024 08:44
ııııııııııııııı ıııııııııııı ııııııııı ıııııııııııı ıııııııııııııııııı ııııııııı ıııııı.,ııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ııııııııı.,Cotton,Equipment,Gujarati,Mizoram,Summer,High,Frustrated,Human,None,0,No,7,ask_advice,11/01/2024 15:38
ııııııııııııııı ııııııııı ııııııııııııııııııııı ııııııııııııııı ıııııııııııı ıııııııııııııııııııııııııııııı.,ııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııııııııı.,Pulses,Weather,Telugu,West Bengal,Summer,High,Angry,NGO,Neem Oil,4602,Yes,20,ask_advice,10/07/2024 11:26
ıııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııııııııı,Millets,Pest,Hindi,Telangana,Zaid,High,Neutral,Govt_Expert,Pesticide,3153,Yes,8,ask_advice,16/07/2024 09:36
ıııııııııııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ııııııııı ııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııı ıııııııııııı,Rice,Water,Rajasthani,Chhattisgarh,Winter,Medium,Angry,AI,Fungicide,525,No,10,ask_advice,11/12/2024 16:13
ıııııııııııı ııııııııııııııı ıııııı ııııııııı ıııııııııııı ııııııııı ııııııııı,ıııııııııııııııııııııııı ıııııııııııııııııı,Tomato,Disease,Punjabi,Meghalaya,Monsoon,Low,Neutral,AI,Fungicide,2618,No,7,ask_advice,21/10/2024 11:06
ıııııı ııııııııııııııııııııı ıııııı ııııııııı ıııııııııııııııııı ııııııııııııııı ıııııııııııııııııı,ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııııııııı,Millets,Pest,Odia,Uttar Pradesh,Rabi,High,Angry,AI,Pesticide,3411,No,7,ask_advice,04/11/2024 01:43
ıııııııııııı ıııııııııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııııııııı ıııııııııııııııııı.,ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııı.,Tea,Equipment,Tamil,Karnataka,Zaid,High,Worried,Human,None,0,Yes,24,ask_advice,18/01/2024 01:39
ıııııııııııı ııııııııı ııı ıııııııııııı ııııııııııııııııııııı,ııııııııı ııııııııııııııı ııııııııııııııııııııı ııııııııııııııı,Pulses,Pest,Bengali,Rajasthan,Rabi,Low,Hopeful,Human,Irrigation Pump,1024,No,5,ask_advice,09/03/2025 22:19
ııııııııııııııı ıııııı ııııııııı ııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Spices,Disease,Punjabi,Meghalaya,Rabi,High,Hopeful,Human,Fungicide,4256,Yes,9,ask_advice,08/02/2024 18:50
ııııııııı ııııııııı ıııııı ııııııııı ııı ııııııııı ıııııııııııı,ııııııııııııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Rice,Disease,Maithili,Gujarat,Monsoon,High,Neutral,Private,Drip Kit,4831,Yes,7,ask_advice,17/09/2024 04:25
ıııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ııııııııı.,ıııııııııııııııııı ıııııııııııııııııı ııııııııı ııııııııı ııııııııııııııııııııııııııı ıııııııııııı.,Sugarcane,Pest,Marathi,Meghalaya,Kharif,High,Angry,AI,Fungicide,1488,No,8,ask_advice,13/02/2024 11:47
ıııııııııııı ııııııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııı ıııııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Rice,Market,Hindi,Assam,Summer,Low,Angry,NGO,Fungicide,1956,Yes,9,ask_advice,11/11/2024 07:22
ıııııııııııı ıııııııııııııııııııııııı ıııııı ııııııııııııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııııııııııııııı.,ıııııııııııııııııı ıııııııııııı ıııııııııııııııııııııııı.,Potato,Nutrient,Kannada,Tamil Nadu,Summer,Medium,Worried,Govt_Expert,None,0,Yes,26,ask_advice,06/03/2024 15:29
ıııııııııııı ıııııııııııııııııııııııııııııııııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııııııııı ıııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııı.,Potato,Equipment,Tamil,Himachal Pradesh,Kharif,Low,Angry,AI,None,0,Yes,28,ask_advice,10/03/2024 20:10
ıııııııııııı ııııııııı ııı ııııııııı ıııııı ıııııııııııııııııı ııııııııııııııııııııı,ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııı,Coffee,Disease,Bengali,Arunachal Pradesh,Summer,Medium,Neutral,AI,Pesticide,491,No,7,ask_advice,15/09/2024 10:00
ıııııııııııı ıııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ııııııııı,ııııııııııııııı ıııııı ıııııııııııı ııııııııı ııııııııı ıııııııııııııııııııııııı ııııııııııııııı,Rice,Weather,Punjabi,Maharashtra,Kharif,Low,Angry,Human,Fungicide,2129,No,9,ask_advice,13/04/2024 09:23
ıııııııııııı ııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııı,ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı,Rice,Weather,Santhali,Tripura,Winter,Low,Frustrated,NGO,Neem Oil,2564,No,8,ask_advice,06/09/2024 11:01
ıııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııııııııı ıııııı ııııııııı ıııııı ıııııı ıııııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Mango,Nutrient,Haryanvi,Rajasthan,Rabi,Low,Angry,Private,Pesticide,1256,No,10,ask_advice,01/04/2024 08:30
ıııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııı ıııııııııııııııııı.,ıııııııııııı ııııııııııııııı ıııııııııııııııııııııııı,Tomato,Equipment,Tulu,Telangana,Summer,High,Worried,Human,Neem Oil,3324,Yes,8,ask_advice,29/04/2024 15:58
ıııııııııııııııııı ııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııı.,ıııııııııııııııııı ıııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ııııııııııııııı ııııııııı ıııııııııııı.,Potato,Market,Marathi,Sikkim,Zaid,Low,Frustrated,AI,Drip Kit,2206,No,6,ask_advice,10/08/2024 23:33
ııııııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ıııııııııııııııııııııııııııııı ııııııııııııııııııııııııııııııııı.,Coffee,Weather,Malayalam,Sikkim,Monsoon,High,Frustrated,Govt_Expert,None,0,Yes,23,ask_advice,29/01/2025 11:08
ııııııııı ııııııııııııııııııııı ııı ııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııı,ııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııı,Onion,Equipment,Assamese,Maharashtra,Rabi,Medium,Neutral,AI,Pesticide,941,Yes,7,ask_advice,22/12/2024 09:27
ııııııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,Tea,Equipment,Malayalam,Odisha,Zaid,High,Angry,AI,Drip Kit,195,Yes,21,ask_advice,01/02/2025 05:08
ıııııı ıııııı ııııııııı ııııııııı ıııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııı ııııııııııııııı,Mango,Disease,Haryanvi,Jharkhand,Kharif,Low,Frustrated,Human,None,0,Yes,11,ask_advice,27/02/2025 23:30
ıııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııı.,ıııııııııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı.,Rice,Equipment,Telugu,Haryana,Summer,Low,Frustrated,Human,Irrigation Pump,3738,No,19,ask_advice,26/05/2024 00:17
ıııııııııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ııııııııı.,ııııııııııııııııııııııııııı ııııııııııııııı.,Tomato,Market,Marathi,Bihar,Monsoon,Low,Angry,AI,Fungicide,314,Yes,9,ask_advice,19/07/2024 16:25
ııııııııı ıııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııı,ıııııııııııııııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııı,Pulses,Disease,Assamese,Gujarat,Kharif,Low,Frustrated,Human,Irrigation Pump,3535,No,6,ask_advice,21/12/2024 02:50
ııııııııııııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııııııııı ıııııııııııııııııı,ııııııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı,Spices,Pest,Konkani,Arunachal Pradesh,Summer,Low,Angry,NGO,Neem Oil,1766,No,6,ask_advice,02/02/2025 12:09
ıııııııııııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ııııııııı ııııııııı,ıııııııııııı ıııııı ıııııı ııııııııııııııı ıııııııııııı,Wheat,Nutrient,Rajasthani,Himachal Pradesh,Zaid,High,Neutral,NGO,None,0,No,11,ask_advice,27/06/2024 19:07
ııııııııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııııııııııııııııııııııııııııııııı.,ıııııııııııı ııııııııııııııııııııııııııııııııı.,Sugarcane,Disease,Tamil,Meghalaya,Winter,High,Frustrated,Govt_Expert,Fertilizer,3731,Yes,23,ask_advice,02/02/2024 09:51
ıııııııııııı ııııııııııııııı ııııııııı ıııııııııııı ıııııı ııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Millets,Water,Bhojpuri,Odisha,Winter,High,Hopeful,Private,Irrigation Pump,1473,No,9,ask_advice,25/11/2024 09:15
ıııııııııııı ııııııııı ııııııııı ııııııııııııııı ıııııı ıııııı ıııııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Tea,Pest,Hindi,Uttarakhand,Kharif,Low,Hopeful,Private,Pesticide,3691,Yes,7,ask_advice,11/01/2024 14:02
ııııııııı ııııııııı ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııı ııııııııııııııı,ıııııııııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııı,Banana,Disease,Konkani,Rajasthan,Winter,Low,Neutral,AI,Pesticide,1882,Yes,7,ask_advice,10/05/2024 23:10
ıııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Banana,Market,Bhojpuri,Telangana,Rabi,Low,Worried,Human,Pesticide,2413,No,12,ask_advice,02/10/2024 09:26
ıııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııııııııııııııı ııııııııııııııııııııı,Tomato,Weather,Tulu,West Bengal,Summer,Medium,Angry,Private,Fungicide,4677,Yes,6,ask_advice,10/03/2024 02:28
ııııııııı ııııııııııııııı ııı ıııııııııııı ıııııııııııııııııı ııııııııııııııı,ııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııı,Tomato,Disease,Assamese,Gujarat,Monsoon,Medium,Angry,AI,None,0,Yes,6,ask_advice,27/01/2025 11:32
ıııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı,Banana,Market,Haryanvi,Uttar Pradesh,Winter,Medium,Neutral,NGO,Irrigation Pump,306,No,13,ask_advice,05/01/2025 06:57
ıııııııııııı ııııııııııııııııııııı ıııııııııııı ıııııııııııı ııııııııııııııııııııııııııı ıııııııııııııııııı.,ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııııııııııııııııııııı.,Sugarcane,Disease,Tamil,Odisha,Winter,High,Frustrated,AI,Fungicide,3216,No,20,ask_advice,02/05/2025 11:55
ıııııı ııııııııııııııı ıııııı ıııııııııııııııııııııııı ııııııııııııııı ıııııııııııı.,ııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııııııııı.,Wheat,Pest,Telugu,Kerala,Kharif,Medium,Hopeful,Govt_Expert,Neem Oil,1333,Yes,16,ask_advice,20/11/2024 16:08
ıııııııııııı ıııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ııııııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııı,Ragi,Disease,Assamese,Nagaland,Kharif,Low,Worried,Human,Fungicide,4776,Yes,6,ask_advice,29/09/2024 00:52
ıııııııııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııı,Rice,Water,Hindi,Uttarakhand,Rabi,Low,Hopeful,Govt_Expert,Fertilizer,4085,Yes,10,ask_advice,05/10/2024 00:13
ııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ııı ııııııııı ıııııııııııı,ııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı,Spices,Nutrient,Maithili,Nagaland,Winter,High,Worried,Human,Neem Oil,2920,No,10,ask_advice,03/04/2025 23:19
ıııııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııı,ııııııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııı,Apple,Nutrient,Assamese,Telangana,Rabi,Low,Hopeful,Private,Fungicide,219,Yes,7,ask_advice,21/07/2024 18:59
ıııııııııııı ııııııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,Ragi,Market,Malayalam,Bihar,Rabi,High,Neutral,Human,Drip Kit,3399,No,20,ask_advice,16/03/2024 01:22
ııııııııııııııı ıııııııııııı ıııııı ııııııııııııııııııııııııııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ııııııııı ııııııııııııııııııııııııııııııııı.,Onion,Nutrient,Malayalam,Assam,Kharif,Low,Hopeful,Govt_Expert,Fertilizer,1876,Yes,21,ask_advice,28/06/2024 02:15
ııııııııııııııı ııııııııııııııı ıııııı ııııııııııııııııııııııııııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,Tea,Nutrient,Malayalam,Tripura,Winter,Low,Neutral,NGO,Fungicide,4724,Yes,22,ask_advice,22/09/2024 19:57
ıııııııııııı ııııııııı ııııııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Apple,Water,Punjabi,Chhattisgarh,Zaid,High,Worried,AI,Fertilizer,1850,Yes,10,ask_advice,17/09/2024 15:39
ıııııı ıııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııı.,ıııııııııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı.,Banana,Equipment,Telugu,Sikkim,Rabi,Low,Worried,AI,Irrigation Pump,2330,Yes,18,ask_advice,07/04/2025 20:36
ııııııııııııııı ıııııııııııı ııııııııııııııı ııııııııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııı,ııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııı,Millets,Market,Assamese,West Bengal,Zaid,Medium,Hopeful,Human,Drip Kit,905,No,7,ask_advice,19/01/2024 17:34
ıııııı ıııııııı ıııı ıııııııı ıııı ıııııı ıııı ıııııııııı ıııııııı,ıııııııı ıııııı ıııııı ıııı ıııııııııııı ıııııııı,Coffee,Water,Kashmiri,Jharkhand,Rabi,Low,Frustrated,AI,Pesticide,2478,No,9,ask_advice,19/05/2024 14:09
ıııııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,ıııııııııııııııııııııııı ııııııııııııııııııııııııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııı ıııııııııııı.,Mango,Weather,Kannada,Sikkim,Zaid,High,Neutral,Private,Irrigation Pump,3793,No,23,ask_advice,01/06/2024 01:49
ıııııııııııı ıııııııııııı ııııııııı ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııı.,Coffee,Equipment,Tamil,Karnataka,Summer,Medium,Neutral,AI,Irrigation Pump,1598,No,17,ask_advice,20/03/2025 10:02
ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııııııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııı ııııııııııııııı,Ragi,Nutrient,Haryanvi,Bihar,Summer,Medium,Hopeful,Human,None,0,Yes,12,ask_advice,19/08/2024 01:06
ııııııııııııııı ıııııı ııııııııı ıııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ııııııııı.,ıııııı ıııııı ıııııııııııııııııı ııııııııı.,Onion,Water,Marathi,Haryana,Summer,Medium,Hopeful,Private,Fertilizer,4863,Yes,9,ask_advice,11/06/2024 01:22
ııııııııı ııııııııııııııı ııı ııııııııııııııı ıııııııııııııııııı ııııııııııııııı,ııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııı,Brinjal,Market,Assamese,Meghalaya,Winter,High,Hopeful,NGO,Drip Kit,639,No,6,ask_advice,08/01/2024 13:01
ıııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııı.,ıııııııııııııııııııııııııııııı ıııııııııııııııııı.,Rice,Equipment,Telugu,Tripura,Rabi,Medium,Angry,Human,Pesticide,3919,No,21,ask_advice,16/08/2024 09:31
ııııııııııııııı ıııııııııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ıııııııııııııııııııııııı ıııııııııııııııııııııııı.,Banana,Pest,Malayalam,West Bengal,Rabi,Low,Frustrated,Govt_Expert,Fungicide,717,Yes,19,ask_advice,11/11/2024 17:30
